dt,SubscriberKey,frente,categoria
2025-12-28,CK_oy8788,retencao,churn
2025-11-26,CK_sU5319,retencao,churn
2025-12-01,CK_Pp8610,retencao,churn
2025-11-09,CK_jK4726,retencao,churn
2026-01-21,CK_Iu3407,ciclo,onboarding
2025-09-21,CK_Hr5843,receita,ads
2025-09-19,CK_WK1277,produto,pagamento
2026-03-09,CK_pE0425,produto,cardapio
2026-01-17,CK_cv9740,retencao,churn
2025-12-16,CK_QW9503,produto,pagamento
2025-11-16,CK_KX1478,produto,cardapio
2026-02-20,CK_bx5876,produto,cardapio
2026-01-02,CK_bx5876,retencao,churn
2025-12-01,CK_Ki5458,retencao,churn
2025-11-23,CK_fW1823,receita,ads
2026-02-16,CK_IY9060,receita,ads
2025-11-21,CK_PQ4883,produto,pagamento
2025-09-21,CK_ou0695,ciclo,onboarding
2025-10-09,CK_RF0867,marca,branding
2025-10-04,CK_ac6676,produto,cardapio
2025-11-23,CK_tS9932,retencao,churn
2026-03-04,CK_Jh2786,produto,cardapio
2025-09-27,CK_ka0659,receita,ads
2025-10-17,CK_rQ5539,receita,ads
2025-10-28,CK_dH7692,ciclo,onboarding
2026-01-21,CK_Uw9222,marca,branding
2025-10-24,CK_Eu4806,receita,ads
2026-01-29,CK_mh7340,marca,branding
2025-11-28,CK_Ja9784,produto,cardapio
2026-01-02,CK_JB7304,marca,branding
2025-12-12,CK_pq7983,produto,cardapio
2025-12-04,CK_fq8611,ciclo,onboarding
2026-01-12,CK_Rs3477,produto,pagamento
2026-03-04,CK_rN9212,produto,cardapio
2025-11-11,CK_yT3240,marca,branding
2025-09-22,CK_xu9180,ciclo,onboarding
2026-01-11,CK_ZW1518,retencao,churn
2025-11-06,CK_rS8029,retencao,churn
2025-10-20,CK_jC4396,retencao,churn
2025-10-09,CK_lc1218,marca,branding
2026-01-09,CK_Bn6258,receita,ads
2025-11-04,CK_NA1459,receita,ads
2026-02-11,CK_Ju0283,produto,pagamento
2026-03-11,CK_lV5819,receita,ads
2026-02-03,CK_su8683,ciclo,onboarding
2025-12-17,CK_Pq4157,produto,cardapio
2025-09-21,CK_Qx2444,marca,branding
2026-02-22,CK_jQ7038,produto,pagamento
2025-11-25,CK_JX7054,produto,cardapio
2026-03-16,CK_Fa1316,produto,cardapio
2025-10-17,CK_XR0957,produto,cardapio
2025-11-29,CK_Kl2602,marca,branding
2026-03-14,CK_Ga9072,produto,cardapio
2026-01-30,CK_hf1971,produto,cardapio
2026-01-14,CK_nY8207,produto,pagamento
2026-02-07,CK_ig3354,retencao,churn
2026-02-27,CK_yL8953,marca,branding
2026-02-18,CK_co6605,produto,cardapio
2026-02-25,CK_zm5064,marca,branding
2025-11-21,CK_xN8414,produto,cardapio
2025-09-18,CK_SQ4562,receita,ads
2025-11-27,CK_Mo4205,produto,cardapio
2026-03-06,CK_mC9033,ciclo,onboarding
2025-11-09,CK_Ot0926,produto,pagamento
2025-11-24,CK_LH0184,retencao,churn
2025-11-21,CK_td5690,retencao,churn
2025-12-22,CK_Lo4711,produto,pagamento
2025-10-26,CK_rM5749,retencao,churn
2025-11-28,CK_Tm4966,receita,ads
2025-12-11,CK_QG2790,marca,branding
2025-10-15,CK_kA8013,ciclo,onboarding
2025-12-29,CK_YD9521,marca,branding
2025-11-08,CK_EP3306,retencao,churn
2026-01-01,CK_yZ1700,receita,ads
2025-10-24,CK_Fk7327,retencao,churn
2026-03-11,CK_Hs6239,produto,cardapio
2025-10-15,CK_pA7063,produto,pagamento
2026-01-29,CK_RA0388,retencao,churn
2025-12-24,CK_zb6226,produto,pagamento
2026-03-14,CK_AH5789,produto,cardapio
2026-01-29,CK_dX7162,retencao,churn
2026-01-26,CK_nZ1713,marca,branding
2026-02-25,CK_ug3265,ciclo,onboarding
2025-12-19,CK_LH4152,receita,ads
2025-12-23,CK_Rp5867,produto,cardapio
2025-10-05,CK_Dd0391,ciclo,onboarding
2025-11-30,CK_Tc7416,produto,pagamento
2026-01-20,CK_cg4597,ciclo,onboarding
2026-03-09,CK_st1034,marca,branding
2026-02-27,CK_Cy0016,produto,cardapio
2026-01-28,CK_Bd3774,retencao,churn
2025-12-24,CK_WX0398,produto,pagamento
2025-11-09,CK_pI8981,marca,branding
2025-11-14,CK_gQ7631,retencao,churn
2025-10-23,CK_kg4769,ciclo,onboarding
2025-11-14,CK_Mp3362,produto,pagamento
2026-01-16,CK_Wb0573,ciclo,onboarding
2026-02-01,CK_OK2896,produto,pagamento
2025-12-04,CK_nK5880,retencao,churn
2026-03-10,CK_yQ1556,receita,ads
2026-02-23,CK_mS8675,retencao,churn
2026-02-05,CK_BG3945,marca,branding
2025-12-06,CK_GW8653,ciclo,onboarding
2026-02-09,CK_NN9135,produto,pagamento
2026-03-14,CK_If7272,ciclo,onboarding
2026-01-15,CK_sb5241,produto,pagamento
2025-09-21,CK_jN7733,receita,ads
2026-01-12,CK_Lh6871,ciclo,onboarding
2025-12-17,CK_MK0994,produto,cardapio
2025-11-04,CK_jA0493,receita,ads
2025-10-13,CK_UU0856,produto,pagamento
2025-09-23,CK_mD2327,marca,branding
2026-02-25,CK_oR9393,marca,branding
2026-01-16,CK_RU0047,retencao,churn
2026-02-14,CK_Cz8457,retencao,churn
2026-02-21,CK_rS4596,produto,pagamento
2025-09-27,CK_eF0858,marca,branding
2026-01-14,CK_iU3954,marca,branding
2025-11-10,CK_qz4535,retencao,churn
2026-02-08,CK_Qc8335,receita,ads
2026-02-27,CK_lq9052,marca,branding
2025-12-07,CK_hU3468,produto,pagamento
2026-01-08,CK_MC9615,marca,branding
2025-10-29,CK_Sh6908,retencao,churn
2026-03-03,CK_wZ5787,receita,ads
2025-12-13,CK_zN0965,receita,ads
2025-12-29,CK_xz1928,retencao,churn
2026-02-19,CK_dj6846,produto,cardapio
2025-09-26,CK_CF1145,marca,branding
2025-11-05,CK_IE7695,retencao,churn
2025-11-24,CK_YW6291,produto,cardapio
2025-10-06,CK_jX6720,ciclo,onboarding
2025-11-20,CK_oC8261,produto,cardapio
2026-01-05,CK_yo6326,produto,pagamento
2026-01-31,CK_Qe2447,produto,cardapio
2026-02-23,CK_Eb8794,ciclo,onboarding
2025-10-19,CK_dg2185,produto,cardapio
2026-02-15,CK_or3351,retencao,churn
2025-12-28,CK_oK8715,marca,branding
2025-12-08,CK_vg1024,ciclo,onboarding
2025-11-08,CK_ll4909,ciclo,onboarding
2025-09-26,CK_lL4019,receita,ads
2025-10-07,CK_lt5817,receita,ads
2025-11-13,CK_xE6349,produto,pagamento
2026-03-14,CK_gB7480,retencao,churn
2025-11-04,CK_kf7677,retencao,churn
2026-01-20,CK_XO8570,marca,branding
2026-02-22,CK_qt5122,ciclo,onboarding
2026-03-03,CK_Gv2686,retencao,churn
2025-12-21,CK_WO5590,retencao,churn
2025-12-16,CK_CM2661,produto,cardapio
2026-01-01,CK_ue1498,marca,branding
2025-11-20,CK_QK2455,marca,branding
2026-02-08,CK_ji1888,produto,pagamento
2025-11-16,CK_Sj2233,receita,ads
2026-03-09,CK_HC1430,produto,pagamento
2026-01-07,CK_Tu4252,produto,pagamento
2026-02-16,CK_Ag1109,produto,pagamento
2025-10-12,CK_wl5358,ciclo,onboarding
2025-10-08,CK_Ax2811,marca,branding
2026-01-14,CK_aX2165,produto,pagamento
2025-12-10,CK_JM7652,ciclo,onboarding
2026-02-05,CK_bt9724,retencao,churn
2025-09-24,CK_jC4997,retencao,churn
2025-09-29,CK_Zs5991,ciclo,onboarding
2025-12-28,CK_yN8771,receita,ads
2025-11-08,CK_hd7519,produto,cardapio
2025-09-20,CK_mb3091,receita,ads
2026-01-23,CK_Oq2814,marca,branding
2026-02-19,CK_Wb5493,produto,cardapio
2026-01-22,CK_mQ1805,retencao,churn
2025-10-30,CK_Ee7632,produto,cardapio
2026-02-07,CK_Ru2966,produto,pagamento
2026-01-22,CK_rC2901,produto,pagamento
2026-03-07,CK_cp0620,produto,cardapio
2025-11-13,CK_KR2054,produto,cardapio
2026-02-06,CK_Kv7959,ciclo,onboarding
2026-01-05,CK_Eu6264,ciclo,onboarding
2025-11-12,CK_Zl9039,receita,ads
2026-03-02,CK_lZ2897,retencao,churn
2026-01-15,CK_cv9740,retencao,churn
2026-02-13,CK_Wa1004,receita,ads
2025-10-22,CK_yF7344,receita,ads
2026-03-11,CK_bG6610,marca,branding
2025-12-18,CK_CC9957,produto,cardapio
2025-10-13,CK_ni9137,retencao,churn
2026-02-25,CK_WZ7940,retencao,churn
2026-03-19,CK_Tk1093,receita,ads
2025-12-16,CK_Pl6156,produto,pagamento
2026-02-19,CK_YI1751,retencao,churn
2025-11-07,CK_lx1918,ciclo,onboarding
2025-12-06,CK_Sp9045,produto,pagamento
2025-11-01,CK_BR5536,receita,ads
2025-12-08,CK_fh8564,marca,branding
2026-03-04,CK_DJ9680,produto,cardapio
2026-01-30,CK_YJ6368,produto,pagamento
2026-02-04,CK_tE4003,ciclo,onboarding
2025-12-07,CK_LS0293,produto,pagamento
2025-11-19,CK_Xs8434,produto,cardapio
2025-12-03,CK_oT7041,receita,ads
2026-01-21,CK_aD6399,retencao,churn
2025-10-06,CK_Nt5122,produto,cardapio
2025-11-11,CK_EQ4310,produto,pagamento
2025-11-29,CK_ee6241,produto,cardapio
2026-01-15,CK_zY5402,receita,ads
2026-01-25,CK_Xb1126,receita,ads
2025-10-05,CK_oK4974,marca,branding
2025-12-01,CK_Fg2481,retencao,churn
2025-12-21,CK_nI8347,marca,branding
2026-01-03,CK_vR5669,receita,ads
2025-11-24,CK_mE6186,retencao,churn
2026-02-25,CK_ec7068,marca,branding
2025-11-13,CK_vW2016,retencao,churn
2026-03-02,CK_Go8775,produto,pagamento
2025-10-09,CK_jc5652,produto,cardapio
2025-12-22,CK_fT3031,marca,branding
2025-11-12,CK_MK4286,receita,ads
2025-12-27,CK_vk5895,produto,pagamento
2025-11-14,CK_dd9805,produto,pagamento
2026-01-12,CK_Xn8418,retencao,churn
2025-11-06,CK_va7899,marca,branding
2026-01-31,CK_gB3052,receita,ads
2025-10-19,CK_sa7700,produto,cardapio
2025-10-04,CK_av9717,receita,ads
2025-10-10,CK_LH4152,retencao,churn
2025-10-02,CK_Rn8276,marca,branding
2025-10-18,CK_Vp3645,marca,branding
2026-03-06,CK_Xr6601,produto,pagamento
2026-03-08,CK_VJ2834,produto,cardapio
2025-12-22,CK_gg1326,ciclo,onboarding
2026-01-22,CK_rJ7338,produto,cardapio
2026-02-08,CK_yO5542,retencao,churn
2025-12-31,CK_Mp3362,retencao,churn
2026-02-06,CK_Nl6496,marca,branding
2025-11-06,CK_Jo2024,marca,branding
2025-09-27,CK_nn0433,retencao,churn
2025-10-04,CK_nI8347,retencao,churn
2025-10-11,CK_uz4846,produto,cardapio
2026-02-12,CK_Bw3753,marca,branding
2026-01-14,CK_Up5111,produto,pagamento
2026-02-13,CK_bJ7642,retencao,churn
2025-12-12,CK_ci0342,produto,pagamento
2026-01-24,CK_th4911,retencao,churn
2025-10-05,CK_gO6050,retencao,churn
2025-11-14,CK_Ho4640,receita,ads
2025-12-13,CK_GP7638,produto,pagamento
2025-12-06,CK_Dk0254,marca,branding
2026-03-18,CK_hU7449,produto,cardapio
2026-02-24,CK_tn2925,produto,cardapio
2025-11-07,CK_te4010,retencao,churn
2025-10-11,CK_hd6546,retencao,churn
2026-02-07,CK_tL3745,retencao,churn
2025-09-28,CK_XT4495,produto,pagamento
2026-01-31,CK_El7310,ciclo,onboarding
2025-10-19,CK_Ys6024,produto,cardapio
2025-11-15,CK_zV5766,marca,branding
2026-01-22,CK_dh7672,marca,branding
2025-10-16,CK_RF6719,retencao,churn
2026-02-21,CK_fS9275,receita,ads
2025-12-14,CK_Zt7015,produto,pagamento
2025-09-19,CK_GS1394,produto,pagamento
2026-03-14,CK_wL4171,ciclo,onboarding
2026-02-02,CK_Yi5466,produto,cardapio
2025-09-25,CK_QL6238,receita,ads
2025-10-21,CK_mJ4488,receita,ads
2025-12-21,CK_Ol4290,ciclo,onboarding
2026-02-08,CK_tU8869,produto,pagamento
2025-12-09,CK_Nl6496,produto,cardapio
2026-01-30,CK_IG5859,produto,pagamento
2025-12-01,CK_Hs5202,receita,ads
2025-11-09,CK_Uw1245,receita,ads
2025-11-17,CK_XR9599,produto,pagamento
2025-10-20,CK_Wt8409,marca,branding
2025-11-13,CK_Um8061,receita,ads
2025-12-11,CK_Rp2515,marca,branding
2026-03-10,CK_zL9701,marca,branding
2025-11-27,CK_VS1276,ciclo,onboarding
2026-02-25,CK_RR7067,retencao,churn
2026-01-11,CK_cp3152,ciclo,onboarding
2026-02-15,CK_he1431,produto,cardapio
2026-01-17,CK_aD6399,marca,branding
2025-11-29,CK_Nw6279,produto,cardapio
2025-12-06,CK_iJ6001,retencao,churn
2026-01-10,CK_Bf1152,produto,pagamento
2026-03-05,CK_Ue5262,produto,cardapio
2025-09-18,CK_Ew9163,ciclo,onboarding
2026-02-06,CK_Vv0397,produto,cardapio
2025-10-19,CK_KU1011,ciclo,onboarding
2025-12-11,CK_Hk4722,retencao,churn
2025-10-12,CK_AP5955,produto,cardapio
2026-02-02,CK_OE9074,produto,cardapio
2025-10-31,CK_OO1268,marca,branding
2025-10-09,CK_Vd5179,retencao,churn
2026-03-07,CK_yy2691,receita,ads
2026-01-14,CK_jI8263,marca,branding
2026-03-15,CK_Bh8800,produto,cardapio
2025-12-20,CK_Mj2432,receita,ads
2025-12-02,CK_co6605,marca,branding
2026-01-22,CK_ov8393,receita,ads
2025-10-26,CK_Wq6345,produto,pagamento
2026-03-15,CK_KX1968,marca,branding
2026-02-03,CK_Tq3917,ciclo,onboarding
2025-11-07,CK_HV2887,retencao,churn
2025-10-30,CK_Vp3645,produto,pagamento
2025-12-07,CK_Bl8268,produto,cardapio
2025-11-22,CK_Yr8312,retencao,churn
2026-02-27,CK_GT4636,receita,ads
2025-12-27,CK_Kd3864,marca,branding
2025-12-31,CK_Wz8940,produto,cardapio
2026-01-15,CK_Bf1152,produto,pagamento
2026-01-21,CK_KH8213,receita,ads
2026-03-11,CK_yY9578,receita,ads
2026-01-27,CK_MJ2432,produto,cardapio
2025-11-15,CK_Tq1883,marca,branding
2026-01-24,CK_WW8981,produto,pagamento
2026-01-04,CK_Si9467,ciclo,onboarding
2025-09-26,CK_bM5715,produto,pagamento
2025-10-13,CK_SL3875,marca,branding
2025-11-12,CK_qZ1475,ciclo,onboarding
2025-09-18,CK_Sh6908,receita,ads
2026-03-05,CK_Ec1801,marca,branding
2025-12-09,CK_hD6048,retencao,churn
2025-10-24,CK_Hh5778,receita,ads
2026-01-22,CK_tO6075,marca,branding
2026-01-16,CK_ik6448,marca,branding
2025-12-28,CK_sx9920,ciclo,onboarding
2026-03-03,CK_pM1765,produto,pagamento
2026-03-03,CK_VL3884,marca,branding
2026-01-09,CK_Jl5068,produto,pagamento
2025-11-11,CK_Mo2817,ciclo,onboarding
2026-01-21,CK_mZ0244,produto,pagamento
2026-01-20,CK_RD2437,ciclo,onboarding
2025-11-10,CK_Pa9407,receita,ads
2026-03-15,CK_nl2533,produto,cardapio
2026-01-05,CK_nt2730,retencao,churn
2025-11-05,CK_nX2643,ciclo,onboarding
2025-12-10,CK_ww5240,produto,pagamento
2025-10-02,CK_yA2528,receita,ads
2025-10-30,CK_na8027,produto,cardapio
2025-12-16,CK_XQ2057,retencao,churn
2026-01-06,CK_aK6748,ciclo,onboarding
2025-11-30,CK_dQ8454,retencao,churn
2026-01-12,CK_xN8414,produto,pagamento
2026-02-18,CK_wS7826,receita,ads
2025-12-05,CK_YY8638,produto,pagamento
2026-02-28,CK_cm3103,retencao,churn
2026-02-05,CK_Sa0914,produto,cardapio
2026-02-23,CK_wC4380,receita,ads
2025-11-02,CK_WW4131,produto,cardapio
2025-12-21,CK_aq3997,produto,pagamento
2025-09-20,CK_Eu2170,receita,ads
2026-01-20,CK_cK1310,produto,cardapio
2025-09-20,CK_lh6512,retencao,churn
2026-01-12,CK_qu0715,produto,pagamento
2026-01-04,CK_sA2051,receita,ads
2025-12-25,CK_mS8317,produto,pagamento
2025-12-04,CK_Cm8124,produto,pagamento
2025-12-15,CK_sK1591,produto,cardapio
2026-02-09,CK_lI3860,marca,branding
2025-10-13,CK_Ye9801,marca,branding
2025-11-06,CK_JN5022,retencao,churn
2025-11-14,CK_MB4641,produto,cardapio
2025-11-14,CK_BX6725,produto,pagamento
2025-09-18,CK_VC5242,receita,ads
2025-10-14,CK_Va3717,retencao,churn
2025-10-21,CK_xD4394,produto,pagamento
2025-10-19,CK_Om4497,retencao,churn
2025-10-11,CK_fZ1372,ciclo,onboarding
2025-12-27,CK_sF0674,produto,pagamento
2025-11-29,CK_Na9708,receita,ads
2025-09-21,CK_ww5240,ciclo,onboarding
2026-02-10,CK_lU5286,retencao,churn
2025-11-15,CK_vW2016,ciclo,onboarding
2025-12-25,CK_XO8570,produto,cardapio
2025-10-27,CK_Tv8977,ciclo,onboarding
2026-03-14,CK_RH4374,retencao,churn
2025-10-19,CK_ZB8632,produto,cardapio
2026-03-01,CK_uU7561,ciclo,onboarding
2025-10-29,CK_ml6334,ciclo,onboarding
2025-12-17,CK_Tu5925,marca,branding
2025-10-29,CK_qk6056,produto,pagamento
2025-11-04,CK_ii9063,retencao,churn
2025-11-06,CK_md6553,ciclo,onboarding
2026-03-01,CK_Qy9698,produto,cardapio
2026-02-26,CK_ny9398,marca,branding
2026-02-20,CK_ci2898,retencao,churn
2025-12-21,CK_lU5331,ciclo,onboarding
2025-12-28,CK_pe6609,retencao,churn
2026-03-07,CK_Hh5778,produto,cardapio
2026-01-18,CK_NQ2293,produto,pagamento
2025-11-03,CK_Hy6241,ciclo,onboarding
2025-12-26,CK_nb6730,produto,cardapio
2026-01-14,CK_pB4535,retencao,churn
2025-11-06,CK_rZ8708,produto,pagamento
2026-03-08,CK_HU2697,ciclo,onboarding
2025-10-18,CK_qo1996,produto,cardapio
2026-01-18,CK_ZH8023,marca,branding
2025-10-27,CK_Fv2521,ciclo,onboarding
2026-03-11,CK_FG7135,receita,ads
2025-10-11,CK_BC1212,marca,branding
2025-12-18,CK_pi0017,marca,branding
2026-01-29,CK_Ui6033,receita,ads
2025-12-04,CK_zK3937,receita,ads
2026-02-21,CK_In6392,produto,pagamento
2025-11-29,CK_ph8708,retencao,churn
2026-01-06,CK_lC8241,ciclo,onboarding
2025-12-30,CK_mV4963,produto,cardapio
2025-10-02,CK_HC8225,produto,cardapio
2025-12-20,CK_BR0076,receita,ads
2025-10-05,CK_Us1352,receita,ads
2025-12-20,CK_It5782,marca,branding
2025-10-24,CK_Ck8909,retencao,churn
2026-03-08,CK_OK2896,retencao,churn
2026-03-02,CK_lU5331,ciclo,onboarding
2025-10-31,CK_AQ6033,produto,cardapio
2025-10-29,CK_KE8733,produto,pagamento
2026-03-08,CK_Ig4167,produto,pagamento
2026-01-22,CK_Mp3362,ciclo,onboarding
2026-01-26,CK_eO6283,retencao,churn
2026-01-20,CK_cI7147,produto,cardapio
2025-10-20,CK_iH5233,produto,cardapio
2026-02-07,CK_Ca8421,marca,branding
2025-11-20,CK_vb5724,ciclo,onboarding
2025-11-22,CK_TC2111,ciclo,onboarding
2025-11-12,CK_ja3373,produto,cardapio
2025-12-08,CK_wJ9442,marca,branding
2025-10-16,CK_eb1994,produto,pagamento
2025-09-23,CK_IP5969,marca,branding
2025-09-27,CK_XR4132,produto,pagamento
2025-11-05,CK_ku6963,produto,cardapio
2025-12-21,CK_Nn5583,produto,cardapio
2026-01-07,CK_RW9377,produto,cardapio
2026-01-20,CK_NU9438,ciclo,onboarding
2026-01-09,CK_ib2930,produto,pagamento
2025-12-17,CK_bV5431,retencao,churn
2025-11-05,CK_If8158,retencao,churn
2025-11-03,CK_KE1883,ciclo,onboarding
2026-03-03,CK_FY3292,retencao,churn
2026-01-16,CK_Xr0256,marca,branding
2026-01-08,CK_AR4124,produto,cardapio
2026-02-22,CK_nw2588,produto,cardapio
2025-10-24,CK_vs6037,marca,branding
2025-10-27,CK_gQ5541,retencao,churn
2025-11-03,CK_pd2832,retencao,churn
2026-02-22,CK_Oa5779,receita,ads
2025-11-23,CK_ec4416,retencao,churn
2025-09-27,CK_Lr6749,receita,ads
2025-10-26,CK_Wa1004,produto,pagamento
2026-03-16,CK_iM2546,retencao,churn
2026-02-18,CK_EC5271,produto,pagamento
2026-02-19,CK_mQ1254,retencao,churn
2025-10-14,CK_oD7550,ciclo,onboarding
2025-09-27,CK_bM1922,marca,branding
2026-03-02,CK_wf7121,ciclo,onboarding
2026-03-19,CK_uJ8975,receita,ads
2025-09-27,CK_Wx5237,produto,pagamento
2026-01-16,CK_Ur0053,receita,ads
2026-02-17,CK_rT5077,produto,pagamento
2026-02-08,CK_ag4027,produto,pagamento
2025-11-02,CK_CM0356,marca,branding
2026-01-12,CK_xF8402,receita,ads
2025-12-10,CK_jF3347,ciclo,onboarding
2025-11-01,CK_lB1659,produto,cardapio
2025-12-06,CK_cd2164,retencao,churn
2026-01-17,CK_nw2588,retencao,churn
2025-12-15,CK_Pf4596,ciclo,onboarding
2025-11-23,CK_jn1661,produto,cardapio
2025-12-19,CK_eV3026,marca,branding
2026-01-02,CK_Kg3757,receita,ads
2025-12-07,CK_dm7287,produto,cardapio
2025-12-16,CK_Uu7772,produto,cardapio
2025-10-05,CK_Oh8726,produto,pagamento
2026-01-30,CK_vg3187,produto,pagamento
2026-01-30,CK_yv1406,retencao,churn
2025-12-12,CK_mk9688,retencao,churn
2025-10-30,CK_Vz5243,ciclo,onboarding
2025-10-30,CK_oC9359,produto,cardapio
2026-03-19,CK_qH4695,produto,pagamento
2025-12-18,CK_Mu6902,produto,cardapio
2025-12-18,CK_fA9543,produto,pagamento
2026-03-14,CK_GZ4639,receita,ads
2026-03-13,CK_ol0102,retencao,churn
2025-10-21,CK_uY8829,retencao,churn
2025-12-24,CK_SK8274,produto,cardapio
2026-03-07,CK_fI8632,marca,branding
2026-02-01,CK_Zg7278,ciclo,onboarding
2026-03-04,CK_dm7972,produto,cardapio
2025-11-10,CK_bZ0564,produto,pagamento
2026-01-19,CK_In1114,marca,branding
2025-11-16,CK_gG1755,produto,pagamento
2026-01-04,CK_zc2312,retencao,churn
2025-11-09,CK_vV6298,produto,pagamento
2026-02-17,CK_qp6204,marca,branding
2025-11-26,CK_NU7262,ciclo,onboarding
2025-10-07,CK_fW0644,produto,pagamento
2026-01-07,CK_GE2705,produto,cardapio
2025-12-11,CK_oP0805,marca,branding
2026-01-31,CK_QL4403,retencao,churn
2025-12-22,CK_JB8536,marca,branding
2025-10-16,CK_JM4501,marca,branding
2026-01-19,CK_Ck8995,receita,ads
2025-09-26,CK_Qj0259,produto,pagamento
2026-01-06,CK_lD7865,marca,branding
2025-11-30,CK_gR3059,produto,pagamento
2025-11-08,CK_ii7112,marca,branding
2025-09-24,CK_tG0618,produto,pagamento
2026-01-01,CK_ae8393,produto,cardapio
2026-01-08,CK_pE0425,produto,cardapio
2025-10-16,CK_PY9138,marca,branding
2025-11-04,CK_kU9263,marca,branding
2025-10-12,CK_qF7244,receita,ads
2025-12-10,CK_eP9832,marca,branding
2025-12-05,CK_gf7438,retencao,churn
2026-02-24,CK_kw7752,receita,ads
2026-01-27,CK_AR4124,marca,branding
2026-03-01,CK_fV1290,produto,pagamento
2025-12-08,CK_Cz8457,marca,branding
2025-09-27,CK_Kb1255,receita,ads
2025-12-14,CK_mi1779,produto,cardapio
2026-01-29,CK_MF7780,produto,pagamento
2026-02-16,CK_gi4386,produto,pagamento
2025-09-22,CK_XP5955,receita,ads
2025-10-08,CK_Mq2520,marca,branding
2025-11-15,CK_hS2692,marca,branding
2025-11-17,CK_uq4815,receita,ads
2026-01-22,CK_lw0096,ciclo,onboarding
2025-12-10,CK_Xh1918,marca,branding
2026-02-24,CK_Ck3279,produto,pagamento
2025-12-14,CK_bk4840,receita,ads
2025-11-24,CK_Tc7416,produto,cardapio
2025-09-25,CK_su4269,ciclo,onboarding
2025-12-03,CK_ZV5596,produto,cardapio
2026-01-26,CK_KV1232,retencao,churn
2026-02-23,CK_ee6241,receita,ads
2025-11-04,CK_qf3220,produto,cardapio
2026-01-06,CK_ux9701,receita,ads
2026-01-06,CK_tc7751,produto,cardapio
2025-12-19,CK_RX8585,produto,cardapio
2026-03-17,CK_Md6700,marca,branding
2026-02-08,CK_MB4641,ciclo,onboarding
2025-12-16,CK_ig3354,produto,cardapio
2025-10-10,CK_SN7528,retencao,churn
2025-11-29,CK_cK5136,receita,ads
2026-01-10,CK_Eb6153,produto,cardapio
2025-12-22,CK_BL1034,marca,branding
2026-02-19,CK_BG3296,marca,branding
2026-01-26,CK_tc7288,receita,ads
2025-09-27,CK_Rz3301,produto,pagamento
2025-09-21,CK_EJ8897,receita,ads
2025-10-18,CK_Hz8463,marca,branding
2025-11-09,CK_BG3945,produto,pagamento
2026-02-02,CK_Zg1632,marca,branding
2026-02-20,CK_gz8484,retencao,churn
2025-10-28,CK_zb6226,produto,pagamento
2026-01-19,CK_Kk4989,produto,pagamento
2025-09-18,CK_TI9209,receita,ads
2026-03-05,CK_AH5789,ciclo,onboarding
2025-12-29,CK_co6605,marca,branding
2025-10-29,CK_cP6298,receita,ads
2025-10-10,CK_hd2216,marca,branding
2025-12-24,CK_oL3903,marca,branding
2026-02-12,CK_fb3827,produto,cardapio
2025-10-10,CK_ik6448,marca,branding
2025-11-15,CK_Xy7633,ciclo,onboarding
2025-11-14,CK_zb9984,produto,cardapio
2026-01-21,CK_Cr2500,ciclo,onboarding
2026-03-18,CK_qi7672,retencao,churn
2025-10-23,CK_ph8708,produto,pagamento
