merchant_id,contact_key_id,performance_classification,state,city,merchant_city_maturity,top_restaurants,status_saturacao,contract_mode
MRC_00118,CK_Sq1937,gold,CE,Fortaleza,medium,False,atencao,basico
MRC_00119,CK_VT5299,gold,GO,Anápolis,medium,True,atencao,enterprise
MRC_00120,CK_Lb1241,bronze,SC,Joinville,medium,False,ok,basico
MRC_00121,CK_Tm4966,gold,SC,Blumenau,medium,False,ok,pro
MRC_00122,CK_SX1931,platinum,MG,Uberlândia,low,True,ok,basico
MRC_00123,CK_Yc4919,gold,CE,Juazeiro do Norte,medium,True,atencao,basico
MRC_00124,CK_eG5865,gold,SP,São Paulo,medium,False,atencao,pro
MRC_00125,CK_gB5067,platinum,RS,Pelotas,high,False,atencao,pro
MRC_00126,CK_lU5726,silver,RS,Pelotas,high,True,atencao,pro
MRC_00127,CK_XE8498,bronze,PR,Curitiba,high,False,atencao,basico
MRC_00128,CK_up7694,gold,CE,Juazeiro do Norte,high,False,atencao,basico
MRC_00129,CK_WD1473,silver,CE,Juazeiro do Norte,medium,False,ok,basico
MRC_00130,CK_bF9965,silver,RS,Porto Alegre,medium,False,ok,enterprise
MRC_00131,CK_wZ5273,bronze,CE,Juazeiro do Norte,high,False,ok,basico
MRC_00132,CK_Sr4549,gold,MG,Uberlândia,low,False,ok,enterprise
MRC_00133,CK_fp8083,bronze,BA,Salvador,medium,False,atencao,basico
MRC_00134,CK_SE6783,platinum,RJ,Niterói,medium,False,saturado,pro
MRC_00135,CK_so7701,bronze,SC,Florianópolis,medium,False,ok,basico
MRC_00136,CK_xE6349,bronze,GO,Anápolis,low,False,saturado,basico
MRC_00137,CK_VJ8856,silver,PR,Maringá,medium,True,ok,basico
MRC_00138,CK_tq5574,bronze,BA,Salvador,high,False,ok,basico
MRC_00139,CK_hV3135,silver,RS,Pelotas,medium,False,atencao,enterprise
MRC_00140,CK_VE8233,platinum,SC,Florianópolis,high,False,ok,pro
MRC_00141,CK_sg4989,gold,CE,Juazeiro do Norte,medium,False,ok,pro
MRC_00142,CK_lt3435,bronze,GO,Goiânia,high,False,ok,basico
MRC_00143,CK_cd0824,bronze,CE,Fortaleza,medium,False,saturado,enterprise
MRC_00144,CK_ga8427,gold,SP,Santos,medium,False,atencao,basico
MRC_00145,CK_Cv9477,platinum,SP,Campinas,low,False,ok,enterprise
MRC_00146,CK_he2047,silver,GO,Goiânia,low,False,ok,basico
MRC_00147,CK_OR6719,silver,GO,Anápolis,medium,False,saturado,basico
MRC_00148,CK_tf0229,bronze,RS,Caxias do Sul,medium,False,ok,enterprise
MRC_00149,CK_MM3186,gold,GO,Goiânia,medium,True,saturado,basico
MRC_00150,CK_CC9386,silver,MG,Belo Horizonte,low,False,ok,enterprise
MRC_00151,CK_KN4964,bronze,CE,Juazeiro do Norte,high,False,atencao,basico
MRC_00152,CK_On0913,bronze,BA,Feira de Santana,high,False,atencao,pro
MRC_00153,CK_lJ4123,gold,PE,Recife,low,True,ok,enterprise
MRC_00154,CK_CS1206,bronze,GO,Goiânia,medium,False,atencao,pro
MRC_00155,CK_os9740,bronze,PR,Curitiba,high,True,ok,pro
MRC_00156,CK_qY4713,silver,SP,São Paulo,medium,False,atencao,basico
MRC_00157,CK_Io9361,bronze,MG,Belo Horizonte,medium,False,atencao,basico
MRC_00158,CK_dk2421,bronze,SC,Blumenau,medium,False,ok,basico
MRC_00159,CK_Ch4994,gold,PE,Caruaru,low,False,atencao,basico
MRC_00160,CK_GI7464,gold,BA,Salvador,medium,False,ok,pro
MRC_00161,CK_cB7719,gold,PE,Recife,low,False,ok,basico
MRC_00162,CK_fo5940,gold,GO,Goiânia,medium,False,atencao,pro
MRC_00163,CK_Kc9904,silver,RS,Pelotas,low,False,ok,pro
MRC_00164,CK_rl2787,gold,SP,Ribeirão Preto,high,False,ok,basico
MRC_00165,CK_Ew9671,bronze,SP,Campinas,medium,False,ok,enterprise
MRC_00166,CK_kv6551,silver,SC,Joinville,low,False,ok,enterprise
MRC_00167,CK_WJ6746,platinum,RS,Pelotas,medium,False,ok,basico
MRC_00168,CK_qu0715,bronze,CE,Juazeiro do Norte,low,False,ok,basico
MRC_00169,CK_QI1680,bronze,RJ,Rio de Janeiro,medium,True,atencao,basico
MRC_00170,CK_Hx7603,silver,MG,Juiz de Fora,medium,False,atencao,pro
MRC_00171,CK_nr9770,bronze,SP,Campinas,low,True,saturado,basico
MRC_00172,CK_SF8247,bronze,PR,Maringá,low,True,ok,pro
MRC_00173,CK_Tk1093,gold,SP,Santos,medium,False,atencao,basico
MRC_00174,CK_Af4808,platinum,PE,Caruaru,low,False,atencao,pro
MRC_00175,CK_Pj3171,silver,SP,Santos,high,False,ok,pro
MRC_00176,CK_AE7484,bronze,SP,Ribeirão Preto,medium,False,atencao,enterprise
MRC_00177,CK_jy7378,bronze,RJ,Petrópolis,medium,False,atencao,basico
MRC_00178,CK_er3982,gold,RJ,Niterói,medium,True,ok,basico
MRC_00179,CK_as6584,silver,BA,Salvador,medium,False,atencao,basico
MRC_00180,CK_jC4997,bronze,CE,Fortaleza,high,False,ok,basico
MRC_00181,CK_JW8755,silver,PR,Curitiba,low,True,ok,basico
MRC_00182,CK_mS8675,bronze,SP,São Paulo,low,False,ok,enterprise
MRC_00183,CK_XA3963,silver,SP,Santos,low,False,atencao,pro
MRC_00184,CK_yQ0576,gold,MG,Belo Horizonte,low,False,ok,basico
MRC_00185,CK_GL2702,silver,RJ,Petrópolis,low,False,ok,pro
MRC_00186,CK_HD5171,silver,PR,Maringá,medium,False,atencao,basico
MRC_00187,CK_eE0262,bronze,SC,Florianópolis,medium,False,atencao,basico
MRC_00188,CK_Pf4596,gold,BA,Salvador,high,False,atencao,pro
MRC_00189,CK_OT5865,silver,CE,Fortaleza,low,False,ok,enterprise
MRC_00190,CK_ep7809,bronze,RS,Porto Alegre,medium,False,atencao,basico
MRC_00191,CK_gW4316,silver,CE,Fortaleza,high,False,ok,pro
MRC_00192,CK_bc1724,bronze,PE,Recife,high,True,ok,enterprise
MRC_00193,CK_xB5045,gold,SP,São Paulo,medium,True,ok,basico
MRC_00194,CK_KR2386,silver,BA,Salvador,medium,False,atencao,basico
MRC_00195,CK_Ny2221,platinum,PE,Caruaru,high,False,atencao,pro
MRC_00196,CK_jo9379,bronze,PR,Curitiba,medium,False,atencao,pro
MRC_00197,CK_Qa7474,gold,RS,Pelotas,low,True,ok,basico
MRC_00198,CK_eC7482,silver,RJ,Rio de Janeiro,high,False,ok,basico
MRC_00199,CK_Sq5946,gold,BA,Feira de Santana,medium,False,ok,pro
MRC_00200,CK_Eg7436,bronze,BA,Feira de Santana,low,False,saturado,pro
MRC_00201,CK_Ks3695,silver,SP,Campinas,medium,False,ok,pro
MRC_00202,CK_aK4064,gold,GO,Goiânia,medium,False,ok,basico
MRC_00203,CK_XZ0974,bronze,BA,Feira de Santana,high,True,atencao,pro
MRC_00204,CK_Om3953,bronze,MG,Belo Horizonte,low,False,ok,pro
MRC_00205,CK_OP9421,silver,RS,Caxias do Sul,high,False,atencao,enterprise
MRC_00206,CK_Lx0470,silver,RS,Caxias do Sul,medium,False,atencao,enterprise
MRC_00207,CK_VA2145,bronze,MG,Belo Horizonte,medium,False,atencao,pro
MRC_00208,CK_xH2328,bronze,SC,Florianópolis,low,False,ok,enterprise
MRC_00209,CK_EZ8424,bronze,MG,Belo Horizonte,high,False,ok,enterprise
MRC_00210,CK_ej4517,gold,MG,Juiz de Fora,high,False,ok,pro
MRC_00211,CK_fY3685,silver,RS,Caxias do Sul,medium,False,ok,pro
MRC_00212,CK_hD6048,gold,CE,Juazeiro do Norte,low,True,atencao,pro
MRC_00213,CK_Ox5496,platinum,RS,Caxias do Sul,medium,False,ok,pro
MRC_00214,CK_NJ1370,silver,GO,Anápolis,high,True,atencao,basico
MRC_00215,CK_OD5931,bronze,SP,Ribeirão Preto,low,False,ok,basico
MRC_00216,CK_cc4612,bronze,PE,Recife,medium,False,atencao,basico
MRC_00217,CK_pI4711,bronze,CE,Fortaleza,medium,False,ok,basico
MRC_00218,CK_QV2675,platinum,RJ,Rio de Janeiro,medium,True,ok,basico
MRC_00219,CK_AP8692,silver,PE,Caruaru,medium,False,ok,enterprise
MRC_00220,CK_rc1796,bronze,SP,Santos,low,False,atencao,basico
MRC_00221,CK_px5377,bronze,GO,Goiânia,high,False,ok,basico
MRC_00222,CK_dz1585,silver,GO,Goiânia,medium,False,ok,pro
MRC_00223,CK_fQ4317,silver,RJ,Rio de Janeiro,medium,False,ok,basico
MRC_00224,CK_Yv3900,bronze,CE,Fortaleza,medium,False,ok,pro
MRC_00225,CK_eW3293,platinum,SC,Blumenau,low,False,atencao,basico
MRC_00226,CK_ov8393,silver,MG,Uberlândia,high,False,atencao,basico
MRC_00227,CK_ji2904,bronze,CE,Fortaleza,medium,False,ok,enterprise
MRC_00228,CK_Qb8421,gold,SC,Joinville,medium,False,ok,pro
MRC_00229,CK_Lu2053,bronze,GO,Goiânia,medium,False,ok,enterprise
MRC_00230,CK_iV0240,platinum,RS,Caxias do Sul,medium,False,saturado,basico
MRC_00231,CK_EC6811,platinum,SP,Ribeirão Preto,low,False,ok,basico
MRC_00232,CK_CG5891,gold,RJ,Rio de Janeiro,low,False,atencao,pro
MRC_00233,CK_tD3908,gold,SP,São Paulo,low,False,atencao,basico
MRC_00234,CK_BR0076,bronze,PR,Londrina,high,False,atencao,basico
MRC_00235,CK_fu1771,platinum,PR,Maringá,low,False,saturado,basico
MRC_00236,CK_rN9212,silver,CE,Fortaleza,low,False,ok,pro
MRC_00237,CK_MH9856,gold,GO,Goiânia,high,False,saturado,pro
MRC_00238,CK_Bg4789,platinum,GO,Goiânia,low,False,atencao,basico
MRC_00239,CK_Co1836,platinum,MG,Belo Horizonte,medium,True,ok,basico
MRC_00240,CK_AU6576,gold,MG,Belo Horizonte,medium,False,atencao,enterprise
MRC_00241,CK_Qq1565,bronze,MG,Belo Horizonte,low,False,atencao,basico
MRC_00242,CK_ff5271,platinum,RS,Caxias do Sul,medium,False,atencao,pro
MRC_00243,CK_Zi1615,silver,PE,Caruaru,low,False,ok,pro
MRC_00244,CK_Jv8098,platinum,BA,Feira de Santana,high,False,atencao,pro
MRC_00245,CK_Ud1656,silver,PE,Recife,medium,False,ok,basico
MRC_00246,CK_gK4945,bronze,SP,Ribeirão Preto,low,False,atencao,enterprise
MRC_00247,CK_og8327,bronze,PE,Recife,low,True,saturado,basico
MRC_00248,CK_Wr5851,silver,RS,Porto Alegre,medium,False,atencao,basico
MRC_00249,CK_XN9368,gold,SP,Ribeirão Preto,low,False,ok,basico
MRC_00250,CK_QS9809,bronze,PE,Recife,low,False,atencao,basico
MRC_00251,CK_SW4024,silver,RS,Caxias do Sul,medium,False,ok,basico
MRC_00252,CK_lj4550,bronze,BA,Feira de Santana,high,False,atencao,enterprise
MRC_00253,CK_VO9612,gold,PE,Caruaru,medium,False,atencao,basico
MRC_00254,CK_yA0183,silver,RS,Caxias do Sul,high,False,ok,enterprise
MRC_00255,CK_tU7525,bronze,MG,Uberlândia,high,False,ok,basico
MRC_00256,CK_dj5991,bronze,GO,Anápolis,low,False,atencao,basico
MRC_00257,CK_rC2901,bronze,MG,Belo Horizonte,high,False,ok,basico
MRC_00258,CK_Ar6797,silver,GO,Goiânia,high,False,atencao,pro
MRC_00259,CK_Bh3815,bronze,RJ,Niterói,medium,False,ok,pro
MRC_00260,CK_Qt4978,bronze,RJ,Rio de Janeiro,high,False,ok,enterprise
MRC_00261,CK_da0369,platinum,RJ,Rio de Janeiro,low,False,atencao,pro
MRC_00262,CK_Wq3432,gold,BA,Salvador,low,True,atencao,basico
MRC_00263,CK_FV4510,silver,MG,Juiz de Fora,high,True,ok,basico
MRC_00264,CK_IT6226,platinum,GO,Anápolis,medium,False,atencao,enterprise
MRC_00265,CK_ez3885,bronze,RS,Porto Alegre,medium,False,ok,enterprise
MRC_00266,CK_eu0607,silver,SP,São Paulo,low,False,atencao,basico
MRC_00267,CK_TO9696,silver,RS,Pelotas,high,False,ok,basico
MRC_00268,CK_bu6416,silver,SP,Ribeirão Preto,high,False,ok,pro
MRC_00269,CK_fB2975,bronze,PR,Maringá,medium,False,ok,pro
MRC_00270,CK_zH1369,silver,RS,Pelotas,high,False,ok,pro
MRC_00271,CK_ov1645,silver,PE,Recife,medium,False,ok,basico
MRC_00272,CK_HG2181,gold,PE,Recife,low,True,ok,enterprise
MRC_00273,CK_pg3552,bronze,CE,Fortaleza,medium,False,saturado,basico
MRC_00274,CK_Mj2432,bronze,MG,Belo Horizonte,high,False,ok,basico
MRC_00275,CK_WK1277,bronze,SP,São Paulo,low,False,ok,basico
MRC_00276,CK_uO9799,bronze,SP,São Paulo,low,False,atencao,basico
MRC_00277,CK_EC5271,silver,MG,Juiz de Fora,high,False,ok,enterprise
MRC_00278,CK_wG4490,bronze,BA,Salvador,high,False,ok,pro
MRC_00279,CK_cd1477,gold,CE,Juazeiro do Norte,medium,False,ok,pro
MRC_00280,CK_NM5411,bronze,BA,Salvador,low,False,ok,basico
MRC_00281,CK_JY8679,bronze,BA,Salvador,high,False,ok,pro
MRC_00282,CK_uM0793,silver,BA,Salvador,high,False,ok,pro
MRC_00283,CK_Cg7820,bronze,MG,Juiz de Fora,medium,False,atencao,basico
MRC_00284,CK_cp5182,silver,BA,Salvador,high,True,ok,enterprise
MRC_00285,CK_Nk7788,silver,PE,Caruaru,high,True,ok,basico
MRC_00286,CK_AX5546,bronze,RJ,Petrópolis,high,False,ok,basico
MRC_00287,CK_ev5905,bronze,PR,Maringá,high,False,ok,basico
MRC_00288,CK_qU1864,bronze,SP,Santos,medium,False,ok,basico
MRC_00289,CK_LQ9251,bronze,SP,Santos,medium,False,atencao,basico
MRC_00290,CK_iM2546,bronze,PR,Curitiba,medium,False,saturado,pro
MRC_00291,CK_PY1486,bronze,MG,Juiz de Fora,medium,False,atencao,basico
MRC_00292,CK_PQ5281,bronze,RS,Pelotas,high,False,ok,basico
MRC_00293,CK_xt6850,silver,MG,Uberlândia,high,True,saturado,pro
MRC_00294,CK_mo2357,silver,SP,Campinas,medium,False,ok,basico
MRC_00295,CK_Yg2214,silver,SP,Santos,medium,False,ok,pro
MRC_00296,CK_Qv8880,bronze,PR,Londrina,medium,False,ok,enterprise
MRC_00297,CK_jk9296,bronze,BA,Salvador,medium,True,atencao,basico
MRC_00298,CK_cA2927,gold,MG,Juiz de Fora,medium,False,ok,pro
MRC_00299,CK_sW5379,silver,GO,Anápolis,low,False,atencao,basico
MRC_00300,CK_tZ7383,gold,PR,Londrina,medium,False,atencao,pro
MRC_00301,CK_CD7359,bronze,PE,Caruaru,low,False,ok,basico
MRC_00302,CK_Ak4688,silver,SP,São Paulo,low,True,atencao,basico
MRC_00303,CK_dP3924,silver,PR,Curitiba,high,False,ok,basico
MRC_00304,CK_TH7581,bronze,MG,Uberlândia,low,True,ok,pro
MRC_00305,CK_rC1412,silver,SP,São Paulo,medium,False,ok,basico
MRC_00306,CK_oC8261,silver,RS,Porto Alegre,low,False,atencao,basico
MRC_00307,CK_zG5060,bronze,PR,Maringá,low,False,ok,enterprise
MRC_00308,CK_xo5361,bronze,CE,Fortaleza,high,False,atencao,basico
MRC_00309,CK_Yj0515,gold,SP,Santos,medium,False,saturado,pro
MRC_00310,CK_Si2047,platinum,MG,Belo Horizonte,high,False,saturado,basico
MRC_00311,CK_fb7790,bronze,RJ,Niterói,medium,False,ok,enterprise
MRC_00312,CK_UM4328,bronze,GO,Goiânia,low,False,ok,basico
MRC_00313,CK_pt8614,bronze,SC,Florianópolis,medium,False,ok,basico
MRC_00314,CK_OY1036,silver,BA,Feira de Santana,high,False,atencao,pro
MRC_00315,CK_FM9711,bronze,SC,Joinville,medium,False,saturado,enterprise
MRC_00316,CK_pT8089,platinum,MG,Belo Horizonte,high,False,atencao,pro
MRC_00317,CK_Nw2460,bronze,PE,Caruaru,medium,True,ok,basico
MRC_00318,CK_QQ3962,bronze,PE,Caruaru,medium,False,ok,pro
MRC_00319,CK_HI1851,silver,RJ,Petrópolis,high,False,atencao,pro
MRC_00320,CK_yE8880,gold,BA,Salvador,high,False,ok,enterprise
MRC_00321,CK_Vb0654,silver,CE,Juazeiro do Norte,medium,True,ok,enterprise
MRC_00322,CK_UQ5153,silver,RJ,Petrópolis,low,False,atencao,pro
MRC_00323,CK_cw1952,platinum,SC,Florianópolis,medium,False,ok,pro
MRC_00324,CK_SE8527,bronze,RJ,Rio de Janeiro,medium,False,ok,pro
MRC_00325,CK_cs2217,gold,SC,Joinville,high,False,ok,pro
MRC_00326,CK_ut3030,bronze,SP,São Paulo,medium,False,ok,basico
MRC_00327,CK_qc8687,gold,PE,Recife,low,False,atencao,basico
MRC_00328,CK_Pv3450,silver,SP,Campinas,high,True,ok,basico
MRC_00329,CK_zV4156,bronze,GO,Anápolis,high,False,atencao,enterprise
MRC_00330,CK_FS7652,gold,BA,Feira de Santana,low,False,ok,basico
MRC_00331,CK_Zf7584,bronze,CE,Fortaleza,high,False,ok,basico
MRC_00332,CK_lI6169,bronze,SC,Blumenau,medium,False,ok,basico
MRC_00333,CK_uQ4511,silver,CE,Juazeiro do Norte,medium,False,ok,pro
MRC_00334,CK_TB4479,bronze,SC,Florianópolis,high,False,atencao,enterprise
MRC_00335,CK_cU2757,silver,MG,Juiz de Fora,medium,False,atencao,pro
MRC_00336,CK_OY5964,bronze,RJ,Petrópolis,low,False,ok,basico
MRC_00337,CK_GZ0165,bronze,GO,Anápolis,medium,False,ok,enterprise
MRC_00338,CK_RY2029,bronze,PE,Caruaru,high,False,atencao,basico
MRC_00339,CK_pX7021,bronze,SC,Joinville,low,False,ok,enterprise
MRC_00340,CK_cM5569,silver,CE,Fortaleza,medium,True,ok,basico
MRC_00341,CK_CW2755,gold,GO,Goiânia,medium,False,ok,pro
MRC_00342,CK_xz1928,platinum,RS,Pelotas,medium,False,atencao,basico
MRC_00343,CK_bV5431,gold,RS,Caxias do Sul,medium,False,ok,enterprise
MRC_00344,CK_Jh2786,bronze,SP,Santos,high,False,ok,basico
MRC_00345,CK_Ns4473,silver,PE,Recife,medium,False,atencao,basico
MRC_00346,CK_eC7312,bronze,MG,Belo Horizonte,medium,False,saturado,enterprise
MRC_00347,CK_Qw2715,bronze,CE,Juazeiro do Norte,low,False,ok,basico
